"id","wwmeasureid","submited_datetime","analysisdate","reportdate","fractionAnalyzed","value","notes","covtype_id","sampleid_id"
2,LIM_31012022_covN2_gc/L,2022-02-11 11:27:43,2022-01-31,2022-01-31,liquid,136050.0,"",1,17
3,LIM_10022022_covE_gc/L,2022-02-18 10:42:19,2022-02-14,2022-02-14,liquid,73085.0,"",2,75
4,LIM_10022022_covN2_gc/L,2022-02-18 10:42:19,2022-02-14,2022-02-14,liquid,97130.0,"",1,75
5,LIM_17022022_covE_gc/L,2022-02-24 11:03:50,2022-02-21,2022-02-21,liquid,103985.0,"",2,80
6,LIM_17022022_covN2_gc/L,2022-02-24 11:03:50,2022-02-21,2022-02-21,liquid,167500.0,"",1,80
7,LAR_22112021_covE_PE-COD,2022-02-28 14:36:07,2021-11-22,2021-11-22,liquid,256972586.4,"",3,229
8,LAR_22112021_covN2_PE-COD,2022-02-28 14:36:07,2021-11-22,2021-11-22,liquid,221573301.5,"",9,229
9,LAR_24012022_covE_PE-COD,2022-02-28 15:42:05,2022-01-24,2022-01-24,liquid,21457947976.9,"",3,55
10,LAR_24012022_covN2_PE-COD,2022-02-28 15:42:05,2022-01-24,2022-01-24,liquid,14967630057.8,"",9,55
11,ANT_13122021_covE_PE-COD,2022-02-28 16:17:30,2021-12-13,2021-12-13,liquid,3220394737,"",3,274
12,LAR_07102021_covE_PE-COD,2022-02-28 13:54:37,2021-10-11,2021-10-11,liquid,3582987551.9,"",3,134
13,LAR_07102021_covN2_PE-COD,2022-02-28 13:54:37,2021-10-11,2021-10-11,liquid,7188796680.5,"",9,134
14,LAR_21102021_covE_PE-COD,2022-02-28 14:25:28,2021-10-25,2021-10-25,liquid,1512154233,"",3,172
15,LAR_21102021_covN2_PE-COD,2022-02-28 14:25:28,2021-10-25,2021-10-25,liquid,2673931265.7,"",9,172
16,ANT_13122021_covN2_PE-COD,2022-02-28 16:17:30,2021-12-13,2021-12-13,liquid,10996381579,"",9,274
17,VAT_27122021_covE_PE-COD,2022-03-01 17:04:03,2021-12-27,2021-12-27,liquid,3134170854,"",3,296
18,PAR_25112021_covN2_PE-COD,2022-03-08 12:42:10,2021-11-29,2021-11-29,liquid,1731435080,"",9,235
19,PAF_15112021_covE_PE-COD,2022-03-03 09:24:13,2021-11-15,2021-11-15,liquid,759138921,"",3,218
20,PAF_15112021_covN2_PE-COD,2022-03-03 09:24:13,2021-11-15,2021-11-15,liquid,4147416762,"",9,218
21,PAF_06012022_covE_PE-COD,2022-03-03 09:44:06,2022-01-10,2022-01-10,liquid,35927566354,"",3,66
22,PAF_06012022_covN2_PE-COD,2022-03-03 09:44:06,2022-01-10,2022-01-10,liquid,33697982642,"",9,66
23,VAT_07102021_covN2,,2021-10-07,2021-10-07,liquid,100.0,"",1,138
24,PAR_10012022_covE_PE-COD,2022-03-08 12:59:51,2022-01-10,2022-01-10,liquid,29753267033,"",3,332
25,LIM_28022022_covN2_gc/L,2022-03-03 10:51:08,2022-02-28,2022-02-28,liquid,60160.0,"",1,89
26,AYI_28102021_covE_PE-COD,2022-03-03 11:22:23,2021-11-01,2021-11-01,liquid,4173314917,"",3,152
27,AYI_28102021_covN2_PE-COD,2022-03-03 11:22:23,2021-11-01,2021-11-01,liquid,4657375691,"",9,152
28,AYI_20122021_covE_PE-COD,2022-03-03 13:42:42,2021-12-20,2021-12-20,liquid,449635036,"",3,283
29,AYI_20122021_covN2_PE-COD,2022-03-03 13:42:42,2021-12-20,2021-12-20,liquid,195711679,"",9,283
30,VAT_27122021_covN2_PE-COD,2022-03-01 17:04:03,2021-12-27,2021-12-27,liquid,4712864322,"",9,296
31,ANT_23122021_covE_PE-COD,2022-03-08 11:43:27,2021-12-27,2021-12-27,liquid,2432080925,"",3,295
32,ANT_23122021_covN2_PE-COD,2022-03-08 11:43:27,2021-12-27,2021-12-27,liquid,4591811175,"",9,295
33,AYI_10022022_covE_PE-COD,2022-03-08 12:13:56,2022-02-14,2022-02-14,liquid,18764285714,"",3,79
34,AYI_10022022_covN2_PE-COD,2022-03-08 12:13:56,2022-02-14,2022-02-14,liquid,51496428571,"",9,79
35,PAR_25112021_covE_PE-COD,2022-03-08 12:42:10,2021-11-29,2021-11-29,liquid,1673804100,"",3,235
36,PAR_10012022_covN2_PE-COD,2022-03-08 12:59:51,2022-01-10,2022-01-10,liquid,24910065490,"",9,332
37,PAR_24022022_covE_PE-COD,2022-03-08 13:09:35,2022-02-28,2022-02-28,liquid,14876938776,"",3,92
38,PAR_24022022_covN2_PE-COD,2022-03-08 13:09:35,2022-02-28,2022-02-28,liquid,36293265306,"",9,92
39,AYI_03032022_covE_gc/L,2022-03-11 12:16:52,2022-03-08,2022-03-08,liquid,50835.0,"",2,37
40,AYI_03032022_covN2_gc/L,2022-03-11 12:16:52,2022-03-08,2022-03-08,liquid,79975.0,"",1,37
41,ANT_31012022_covE_PE-COD,2022-03-15 10:07:04,2022-01-31,2022-01-31,liquid,10831472684,"",3,71
42,ANT_31012022_covN2_PE-COD,2022-03-15 10:07:04,2022-01-31,2022-01-31,liquid,16426187648,"",9,71
43,VAT_10022022_covE_PE-COD,2022-03-15 10:44:28,2022-02-14,2022-02-14,liquid,19308928571,"",3,77
44,VAT_10022022_covN2_PE-COD,2022-03-15 10:44:28,2022-02-14,2022-02-14,liquid,38326680672,"",9,77
45,ANT_10032022_covE_gc/L,2022-03-18 14:49:45,2022-03-14,2022-03-14,liquid,139350.0,"",2,159
46,ANT_10032022_covN2_gc/L,2022-03-18 14:49:45,2022-03-14,2022-03-14,liquid,201550.0,"",1,159
47,LAR_14032022_covE_PE-COD,2022-03-24 13:31:27,2022-03-14,2022-03-14,liquid,8146545106,"",3,99
48,LAR_14032022_covN2_PE-COD,2022-03-24 13:31:27,2022-03-14,2022-03-14,liquid,22079174664,"",9,99
49,LAR_27012022_covE_gc/L,2022-02-11 11:28:51,2022-01-31,2022-01-31,liquid,137200.0,"",2,70
50,LAR_27012022_covN2_gc/L,2022-02-11 11:28:51,2022-01-31,2022-01-31,liquid,61340.0,"",1,70
51,LIM_14022022_covE_gc/L,2022-02-18 10:43:03,2022-02-14,2022-02-14,liquid,36070.0,"",2,130
52,LIM_14022022_covN2_gc/L,2022-02-18 10:43:03,2022-02-14,2022-02-14,liquid,66305.0,"",1,130
53,LIM_21022022_covE_gc/L,2022-02-24 11:04:41,2022-02-21,2022-02-21,liquid,62550.0,"",2,111
54,LIM_21022022_covN2_gc/L,2022-02-24 11:04:41,2022-02-21,2022-02-21,liquid,89340.0,"",1,111
55,LAR_25112021_covE_PE-COD,2022-02-28 14:37:17,2021-11-29,2021-11-29,liquid,4027995520.7,"",3,236
56,LAR_25112021_covN2_PE-COD,2022-02-28 14:37:17,2021-11-29,2021-11-29,liquid,5395296752.5,"",9,236
57,LAR_11102021_covE_PE-COD,2022-02-28 13:55:11,2021-10-11,2021-10-11,liquid,3494669509.6,"",3,141
