"id","submited_datetime","fromdate","todate","value","loginname_id","samplestationid_id"
1,,2021-10-06,2021-10-20,-2.5,,1
2,,2021-10-13,2021-10-27,27.7,,1
3,,2021-10-20,2021-11-03,5.4,,1
4,,2021-10-27,2021-11-10,-17.9,,1
5,,2021-11-03,2021-11-17,-15.7,,1
6,,2021-11-10,2021-11-24,1.2,,1
7,,2021-11-17,2021-12-01,22.1,,1
8,,2021-11-24,2021-12-08,-4.4,,1
9,,2021-12-01,2021-12-15,-6.9,,1
10,,2021-12-08,2021-12-22,5.2,,1
11,,2021-12-15,2021-12-29,26.3,,1
12,,2021-12-22,2022-01-05,16.9,,1
13,,2021-12-29,2022-01-12,-4.2,,1
14,,2022-01-05,2022-01-19,-6.3,,1
15,,2022-01-12,2022-01-26,0.1,,1
16,,2022-01-19,2022-02-02,-3.8,,1
17,,2021-10-06,2021-10-20,2.1,,2
18,,2021-10-13,2021-10-27,32.3,,2
19,,2021-10-20,2021-11-03,6.4,,2
20,,2021-10-27,2021-11-10,-21.5,,2
21,,2021-11-03,2021-11-17,6.6,,2
22,,2021-11-10,2021-11-24,0.3,,2
23,,2021-11-17,2021-12-01,3.3,,2
24,,2021-11-24,2021-12-08,-10.8,,2
25,,2021-12-01,2021-12-15,2.5,,2
26,,2021-12-08,2021-12-22,12.7,,2
27,,2021-12-15,2021-12-29,13.5,,2
28,,2021-12-22,2022-01-05,10.2,,2
29,,2021-12-29,2022-01-12,-1.4,,2
30,,2022-01-05,2022-01-19,-2.0,,2
31,,2022-01-12,2022-01-26,-1.7,,2
32,,2022-01-19,2022-02-02,-3.5,,2
33,,2021-10-06,2021-10-20,-10.8,,3
34,,2021-10-13,2021-10-27,0.3,,3
35,,2021-10-20,2021-11-03,23.5,,3
36,,2021-10-27,2021-11-10,,,3
37,,2021-11-03,2021-11-17,-29.3,,3
38,,2021-11-10,2021-11-24,7.2,,3
39,,2021-11-17,2021-12-01,34.5,,3
40,,2021-11-24,2021-12-08,1.2,,3
41,,2021-12-01,2021-12-15,0.2,,3
42,,2021-12-08,2021-12-22,3.0,,3
43,,2021-12-15,2021-12-29,27.4,,3
44,,2021-12-22,2022-01-05,9.0,,3
45,,2021-12-29,2022-01-12,-4.5,,3
46,,2022-01-05,2022-01-19,0.5,,3
47,,2022-01-12,2022-01-26,0.5,,3
48,,2022-01-19,2022-02-02,6.2,,3
49,,2021-10-06,2021-10-20,-15.3,,4
50,,2021-10-13,2021-10-27,-2.9,,4
51,,2021-10-20,2021-11-03,23.4,,4
52,,2021-10-27,2021-11-10,,,4
53,,2021-11-03,2021-11-17,-22.9,,4
54,,2021-11-10,2021-11-24,8.5,,4
55,,2021-11-17,2021-12-01,22.7,,4
56,,2021-11-24,2021-12-08,-18.2,,4
57,,2021-12-01,2021-12-15,-7.2,,4
