"id","sampleid","Lineage","comment","submited_datetime","datestart","dateend","VariantType_id","location_id","loginname_id"
1,ANT_18112021,undetermined,"",,2021-11-17,2021-11-18,1,5,
2,AYI_15112021,undetermined,"",,2021-11-14,2021-11-15,2,4,
3,LAR_04112021,undetermined,"",,2021-11-03,2021-11-04,2,6,
4,LAR_08112021,undetermined,"",,2021-11-07,2021-11-08,2,6,
5,LIM_04112021,undetermined,"",,2021-11-03,2021-11-04,2,1,
6,LIM_08112021,undetermined,"",,2021-11-07,2021-11-08,2,1,
7,ANT_11112021,AY.43,"",,2021-11-10,2021-11-11,1,5,
8,AYI_04112021,AY.122,"",,2021-11-03,2021-11-04,1,4,
9,PAF_11112021,B.1.324,"",,2021-11-10,2021-11-11,2,2,
10,PAF_15112021,AY.98.1,"",,2021-11-14,2021-11-15,1,2,
11,PAR_04112021,AY.43,"",,2021-11-03,2021-11-04,1,3,
12,ANT_06122021,AY.7,"",,2021-12-05,2021-12-06,1,5,
13,AYI_06122021,AY.43,"",,2021-12-05,2021-12-06,1,4,
14,LIM_06122021,AY.7.2,"",,2021-12-05,2021-12-06,1,1,
15,LIM_20122021,AY.127,"",,2021-12-19,2021-12-20,1,1,
16,PAF_16122021,AY.5.4,"",,2021-12-15,2021-12-16,1,2,
17,PAF_20122021,B.1.617.2,"",,2021-12-19,2021-12-20,1,2,
18,PAR_06122021,AY.43,"",,2021-12-05,2021-12-06,1,3,
19,PAR_13122021,AY.122,"",,2021-12-12,2021-12-13,1,3,
20,VAT_06122021,AY.39,"",,2021-12-05,2021-12-06,1,7,
21,AYI_14102021,AY.46,"",,2021-10-13,2021-10-14,1,4,
22,AYI_27102021,AY.43,"",,2021-10-26,2021-10-27,1,4,
23,PAR_14102021,AY.44,"",,2021-10-13,2021-10-14,1,3,
24,PAR_27102021,AY.45,"",,2021-10-26,2021-10-27,1,3,
25,LIM_27122021,AY.43,Mixture with Omicron variant,,2021-12-26,2021-12-27,1,1,
26,LIM_24012022,AY.4.7,Mixture with Omicron variant,,2022-01-23,2022-01-24,1,1,
27,LAR_27122021,B.1.617.2,"",,2021-12-26,2021-12-27,1,6,
28,LAR_24012022,BA.1,"",,2022-01-23,2022-01-24,3,6,
29,ANT_20012022,BA.1,Mixture with Delta variant,,2022-01-19,2022-01-20,3,5,
30,PAF_27122021,BA.1,"",,2021-12-26,2021-12-27,3,2,
31,PAF_24012022,BA.1,Mixture with Delta variant,,2022-01-23,2022-01-24,3,2,
32,AYI_27122021,BA.1,"",,2021-12-26,2021-12-27,3,4,
33,PAR_27122021,AY.43,"",,2021-12-26,2021-12-27,1,3,
34,PAR_20012022,undetermined,Mixture of Omicron and Delta variant,,2022-01-19,2022-01-20,2,3,
35,PAR_11112021,undetermined,"",,2021-11-10,2021-11-11,1,3,
36,VAT_04112021,undetermined,"",,2021-11-03,2021-11-04,1,7,
37,VAT_18112021,undetermined,"",,2021-11-17,2021-11-18,1,7,
38,ANT_13122021,undetermined,"",,2021-12-12,2021-12-13,1,5,
39,AYI_13122021,undetermined,"",,2021-12-12,2021-12-13,2,4,
40,LAR_16122021,undetermined,"",,2021-12-15,2021-12-16,2,6,
41,LAR_20122021,undetermined,"",,2021-12-19,2021-12-20,2,6,
42,VAT_09122021,undetermined,"",,2021-12-08,2021-12-09,1,7,
43,LIM_28102021,undetermined,"",,2021-10-27,2021-10-28,1,1,
44,LIM_01112021,undetermined,"",,2021-10-31,2021-11-01,1,1,
45,LAR_28102021,undetermined,"",,2021-10-27,2021-10-28,1,6,
46,LAR_01112021,undetermined,"",,2021-10-31,2021-11-01,4,6,
47,ANT_28102021,undetermined,"",,2021-10-27,2021-10-28,1,5,
48,ANT_01112021,undetermined,"",,2021-10-31,2021-11-01,1,5,
49,VAT_28102021,undetermined,"",,2021-10-27,2021-10-28,1,7,
50,VAT_01112021,undetermined,"",,2021-10-31,2021-11-01,1,7,
51,PAF_28102021,undetermined,"",,2021-10-27,2021-10-28,1,2,
52,PAF_01112021,undetermined,"",,2021-10-31,2021-11-01,1,2,
53,ANT_27122021,undetermined,"",,2021-12-26,2021-12-27,2,5,
54,VAT_27122021,undetermined,"",,2021-12-26,2021-12-27,2,7,
55,VAT_20012022,undetermined,"",,2022-01-19,2022-01-20,2,7,
56,AYI_20012022,undetermined,"",,2022-01-19,2022-01-20,2,4,
57,LIM_17022022,undetermined,"",,2022-02-16,2022-02-17,5,1,
58,LIM_24022022,undetermined,"",,2022-02-23,2022-02-24,5,1,
59,LAR_03022022,undetermined,"",,2022-02-02,2022-02-03,6,6,
60,LAR_24022022,undetermined,"",,2022-02-23,2022-02-24,6,6,
61,ANT_10022022,undetermined,"",,2022-02-09,2022-02-10,5,5,
62,ANT_24022022,undetermined,"",,2022-02-23,2022-02-24,5,5,
63,VAT_03022022,undetermined,"",,2022-02-02,2022-02-03,5,7,
64,VAT_10022022,BA.1,"",,2022-02-09,2022-02-10,3,7,
65,PAF_07022022,BA.1,"",,2022-02-06,2022-02-07,3,2,
66,PAF_10022022,undetermined,"",,2022-02-09,2022-02-10,2,2,
67,AYI_14022022,BA.1,"",,2022-02-13,2022-02-14,3,4,
68,AYI_17022022,BA.1,"",,2022-02-16,2022-02-17,3,4,
69,PAR_10022022,BA.1,"",,2022-02-09,2022-02-10,3,3,
70,PAR_07022022,BA.1,"",,2022-02-06,2022-02-07,3,3,
71,ANT_24032022,BA.2,,2022-04-13 20:04:55,2022-03-23,2022-03-24,7,5,3
72,ANT_28032022,BA.2,,2022-04-13 20:06:01,2022-03-27,2022-03-28,8,5,3
73,VAT_24032022,BA.2,,2022-04-13 20:06:31,2022-03-23,2022-03-24,8,7,3
74,VAT_28032022,BA.2,,2022-04-13 20:06:55,2022-03-27,2022-03-28,7,7,3
75,LAR_21032022,BA.2,,2022-04-13 20:07:19,2022-03-20,2022-03-21,8,6,3
76,LAR_24032022,BA.2,,2022-04-13 20:07:38,2022-03-23,2022-03-24,8,6,3
77,LIM_24032022,undetermined,,2022-04-13 20:08:22,2022-03-23,2022-03-24,2,1,3
78,LIM_28032022,BA.2,,2022-04-13 20:08:56,2022-03-27,2022-03-28,8,1,3
86,ANT_04042022,BA.2,,2022-05-13 16:50:33,2022-04-03,2022-04-04,8,5,3
79,PAF_17032022,BA.2,,2022-04-13 20:09:26,2022-03-16,2022-03-17,7,2,3
80,PAF_24032022,BA.2,,2022-04-13 20:09:41,2022-03-23,2022-03-24,7,2,3
81,PAR_14032022,undetermined,,2022-04-13 20:10:11,2022-03-13,2022-03-14,5,3,3
